"identifier","gender","group"
1,"male",1
2,NA,0
3,NA,0
4,"male",1
5,NA,1
6,"prefer not to answer",0
7,NA,1
8,"male",0
9,NA,0
10,"male",1
11,"prefer not to answer",0
12,"prefer not to answer",0
13,"prefer not to answer",0
14,"male",1
15,"prefer not to answer",0
16,"prefer not to answer",0
17,"female",1
18,NA,1
19,"prefer not to answer",0
20,NA,0
21,"female",0
22,"prefer not to answer",1
23,NA,1
24,"female",1
25,"prefer not to answer",1
26,"female",1
27,NA,0
28,"male",0
29,"male",1
30,"female",0
31,"prefer not to answer",0
32,"male",1
33,"female",0
34,NA,1
35,"male",0
36,"male",1
37,"prefer not to answer",1
38,"female",1
39,"female",1
40,"male",1
41,"female",1
42,NA,0
43,"prefer not to answer",0
44,NA,0
45,"female",1
46,NA,1
47,"male",1
48,"prefer not to answer",0
49,"prefer not to answer",0
50,"male",1
51,"prefer not to answer",1
52,"female",0
53,"prefer not to answer",1
54,"prefer not to answer",1
55,"prefer not to answer",1
56,"prefer not to answer",0
57,"female",0
58,NA,1
59,"prefer not to answer",1
60,"female",1
61,"prefer not to answer",0
62,"female",0
63,NA,0
64,"female",1
65,NA,1
66,"female",0
67,"prefer not to answer",1
68,"prefer not to answer",0
69,NA,0
70,"prefer not to answer",0
71,"female",0
72,"female",1
73,NA,1
74,"male",0
75,"male",1
76,NA,0
77,"female",1
78,NA,1
79,"prefer not to answer",1
80,NA,0
81,"female",1
82,NA,1
83,NA,1
84,"prefer not to answer",0
85,"male",1
86,"female",0
87,"prefer not to answer",0
88,NA,1
89,"male",0
90,"female",0
91,"prefer not to answer",0
92,"prefer not to answer",0
93,NA,1
94,"prefer not to answer",0
95,"prefer not to answer",0
96,NA,1
97,"prefer not to answer",1
98,NA,1
99,"female",0
100,NA,1
