"Identifier","Scores","WB1_1","WB1_2","WB1_3","WB1_4","WB2_1","WB2_2","WB2_3","WB2_4"
18,60,4,5,1,6,2,2,5,5
99,68,3,3,5,2,4,5,2,2
9,85,4,3,6,5,5,4,1,3
15,86,4,2,4,2,2,6,2,6
66,64,2,3,3,6,2,2,5,1
19,80,3,4,4,6,4,4,2,5
82,99,4,4,5,3,2,6,4,3
89,81,6,4,4,3,6,4,1,3
73,94,5,1,5,3,2,2,2,3
69,82,5,3,6,1,1,5,5,2
68,85,5,3,3,2,3,4,4,1
32,94,2,3,6,5,3,3,6,2
97,73,3,5,1,1,4,2,5,1
99,62,4,5,1,2,4,6,3,6
15,63,1,3,2,6,3,4,5,5
78,65,5,3,2,4,3,2,1,4
73,67,1,4,6,1,4,3,5,6
19,90,3,3,1,4,3,6,5,2
60,86,6,2,3,1,4,3,2,1
49,76,1,4,5,6,1,6,6,5
97,97,3,1,6,6,6,5,3,2
16,97,6,4,1,1,4,1,1,1
26,74,3,1,5,2,2,5,3,1
8,72,6,1,3,6,4,3,1,5
35,63,6,3,3,3,1,3,6,4
9,76,1,5,1,4,4,2,1,4
76,76,6,5,3,4,1,1,4,4
2,99,3,3,3,4,6,5,4,6
2,76,2,2,1,6,5,2,6,5
20,80,5,3,1,1,5,1,3,3
40,68,6,4,6,5,5,3,2,4
21,75,2,1,4,4,1,5,2,5
8,86,6,1,4,3,2,1,2,4
71,68,3,6,4,1,2,6,5,2
76,100,3,1,1,1,1,4,2,4
20,77,2,6,2,2,3,5,1,4
8,69,5,5,3,1,6,6,3,4
9,98,1,3,3,3,5,1,2,2
15,83,2,1,5,5,5,1,6,2
94,82,6,4,6,6,1,2,6,3
7,84,2,2,5,5,1,3,5,6
77,68,6,4,3,6,2,4,4,5
79,61,1,5,2,6,5,2,1,3
94,75,4,4,3,5,1,6,2,2
24,72,2,3,5,1,1,4,1,3
6,98,5,5,6,3,6,1,2,4
77,72,3,6,3,6,2,5,1,3
91,71,2,3,3,3,3,3,3,1
1,82,6,6,3,3,5,5,6,4
36,76,5,3,5,2,6,6,2,1
38,91,3,2,2,5,3,6,5,5
3,74,3,5,3,1,2,1,4,3
39,79,6,5,2,3,5,4,4,3
6,88,6,3,2,2,1,2,5,1
57,66,2,1,2,4,3,1,3,5
84,67,1,6,4,3,2,4,4,3
50,97,4,3,1,3,1,1,3,5
29,78,5,4,6,5,3,6,4,6
88,100,5,4,1,5,4,1,2,3
38,88,3,1,5,2,4,4,4,2
30,94,1,3,6,2,4,6,1,1
24,95,4,6,2,5,4,4,6,3
59,99,2,6,5,1,6,5,1,1
47,89,1,3,4,1,6,4,4,4
88,94,1,4,1,2,2,4,1,5
31,90,4,5,4,3,3,5,5,3
32,96,2,5,2,5,6,1,5,1
5,87,4,3,3,3,2,2,4,4
54,93,4,5,6,5,3,5,1,4
27,87,3,3,1,6,1,6,1,6
10,78,3,6,4,5,3,4,2,1
82,96,6,4,5,2,6,3,4,5
9,NA,3,4,4,2,5,5,4,3
80,61,1,3,5,2,1,4,1,6
99,76,3,2,6,4,1,1,6,6
49,95,4,6,2,6,2,5,3,6
74,81,6,2,6,1,1,1,4,1
67,62,1,6,6,1,6,6,5,2
36,69,5,2,2,4,4,6,3,3
47,81,4,2,4,1,6,3,1,6
64,70,6,1,4,5,6,4,6,4
34,69,1,1,2,5,2,2,3,6
17,90,4,2,1,1,1,4,3,6
57,86,1,4,3,4,1,4,1,2
47,67,3,3,6,2,1,6,1,2
3,94,1,2,6,5,5,5,6,4
69,88,6,1,3,5,4,1,6,2
3,100,6,6,1,1,1,5,4,6
30,100,3,5,3,5,4,3,1,3
2,100,1,4,5,6,4,4,6,4
52,68,4,1,5,3,2,1,5,1
83,88,1,1,2,1,1,1,5,5
35,67,1,3,1,5,5,2,5,5
70,92,2,6,5,5,6,6,4,2
68,67,5,5,2,4,6,5,3,2
59,72,4,1,4,5,5,5,6,1
10,60,3,3,4,4,3,1,1,3
100,79,6,2,1,4,1,2,2,2
28,83,5,5,4,6,6,3,2,3
51,72,6,6,1,1,6,3,2,3
